record_id,timestamp,agitator_tag,gearbox_tag,motor_tag,component,measurement_type,item_description,unit,source_value,operating_state,record_note
LOG-00001,2026-07-05 00:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.0,recirculation,historian point
LOG-00002,2026-07-05 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.30,recirculation,historian point
LOG-00003,2026-07-05 00:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.0,recirculation,historian point
LOG-00004,2026-07-05 00:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,recirculation,historian point
LOG-00005,2026-07-05 00:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.0,recirculation,historian point
LOG-00006,2026-07-05 01:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.2,recirculation,historian point
LOG-00007,2026-07-05 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.35,recirculation,historian point
LOG-00008,2026-07-05 01:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.3,recirculation,historian point
LOG-00009,2026-07-05 01:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.5,recirculation,historian point
LOG-00010,2026-07-05 01:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.2,recirculation,historian point
LOG-00011,2026-07-05 02:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.4,recirculation,historian point
LOG-00012,2026-07-05 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.39,recirculation,historian point
LOG-00013,2026-07-05 02:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.6,recirculation,historian point
LOG-00014,2026-07-05 02:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,recirculation,historian point
LOG-00015,2026-07-05 02:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.4,recirculation,historian point
LOG-00016,2026-07-05 03:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.7,recirculation,historian point
LOG-00017,2026-07-05 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.44,recirculation,historian point
LOG-00018,2026-07-05 03:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,88.9,recirculation,historian point
LOG-00019,2026-07-05 03:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,recirculation,historian point
LOG-00020,2026-07-05 03:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.6,recirculation,historian point
LOG-00021,2026-07-05 04:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,76.9,recirculation,historian point
LOG-00022,2026-07-05 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.48,recirculation,historian point
LOG-00023,2026-07-05 04:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.2,recirculation,historian point
LOG-00024,2026-07-05 04:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,recirculation,historian point
LOG-00025,2026-07-05 04:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.7,recirculation,historian point
LOG-00026,2026-07-05 05:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.1,recirculation,historian point
LOG-00027,2026-07-05 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.52,recirculation,historian point
LOG-00028,2026-07-05 05:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.5,recirculation,historian point
LOG-00029,2026-07-05 05:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.6,recirculation,historian point
LOG-00030,2026-07-05 05:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,70.9,recirculation,historian point
LOG-00031,2026-07-05 06:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.3,recirculation,historian point
LOG-00032,2026-07-05 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.56,recirculation,historian point
LOG-00033,2026-07-05 06:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,89.8,recirculation,historian point
LOG-00034,2026-07-05 06:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,recirculation,historian point
LOG-00035,2026-07-05 06:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.1,recirculation,historian point
LOG-00036,2026-07-05 07:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.4,recirculation,historian point
LOG-00037,2026-07-05 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.60,recirculation,historian point
LOG-00038,2026-07-05 07:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.0,recirculation,historian point
LOG-00039,2026-07-05 07:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,recirculation,historian point
LOG-00040,2026-07-05 07:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.2,recirculation,historian point
LOG-00041,2026-07-05 08:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.6,recirculation,historian point
LOG-00042,2026-07-05 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.64,recirculation,historian point
LOG-00043,2026-07-05 08:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.3,recirculation,historian point
LOG-00044,2026-07-05 08:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,recirculation,historian point
LOG-00045,2026-07-05 08:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.3,recirculation,historian point
LOG-00046,2026-07-05 09:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.8,recirculation,historian point
LOG-00047,2026-07-05 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.67,recirculation,historian point
LOG-00048,2026-07-05 09:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.5,recirculation,historian point
LOG-00049,2026-07-05 09:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,recirculation,historian point
LOG-00050,2026-07-05 09:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.5,recirculation,historian point
LOG-00051,2026-07-05 10:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,77.9,heat-up,historian point
LOG-00052,2026-07-05 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.71,heat-up,historian point
LOG-00053,2026-07-05 10:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,90.8,heat-up,historian point
LOG-00054,2026-07-05 10:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.7,heat-up,historian point
LOG-00055,2026-07-05 10:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.6,heat-up,historian point
LOG-00056,2026-07-05 11:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.0,heat-up,historian point
LOG-00057,2026-07-05 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.74,heat-up,historian point
LOG-00058,2026-07-05 11:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.0,heat-up,historian point
LOG-00059,2026-07-05 11:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00060,2026-07-05 11:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.7,heat-up,historian point
LOG-00061,2026-07-05 12:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.1,heat-up,historian point
LOG-00062,2026-07-05 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.76,heat-up,historian point
LOG-00063,2026-07-05 12:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.2,heat-up,historian point
LOG-00064,2026-07-05 12:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00065,2026-07-05 12:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.8,heat-up,historian point
LOG-00066,2026-07-05 13:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.2,heat-up,historian point
LOG-00067,2026-07-05 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.79,heat-up,historian point
LOG-00068,2026-07-05 13:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.4,heat-up,historian point
LOG-00069,2026-07-05 13:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00070,2026-07-05 13:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.8,heat-up,historian point
LOG-00071,2026-07-05 14:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.3,heat-up,historian point
LOG-00072,2026-07-05 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.81,heat-up,historian point
LOG-00073,2026-07-05 14:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.6,heat-up,historian point
LOG-00074,2026-07-05 14:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00075,2026-07-05 14:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,heat-up,historian point
LOG-00076,2026-07-05 15:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.3,heat-up,historian point
LOG-00077,2026-07-05 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.83,heat-up,historian point
LOG-00078,2026-07-05 15:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.8,heat-up,historian point
LOG-00079,2026-07-05 15:00,AGT-44,GBX-44,MTR-44,impeller shaft,impeller shaft speed tachometer,impeller shaft speed tachometer,rpm,91.8,heat-up,historian point
LOG-00080,2026-07-05 15:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,bearing temperature,gearbox DE bearing temperature,degC,71.9,heat-up,historian point
LOG-00081,2026-07-05 16:00,AGT-44,GBX-44,MTR-44,gearbox,gearbox oil temperature,gearbox oil temperature,degC,78.4,heat-up,historian point
LOG-00082,2026-07-05 16:00,AGT-44,GBX-44,MTR-44,gearbox DE bearing,vibration velocity horizontal,gearbox DE bearing vibration velocity horizontal,mm/s,5.84,heat-up,historian point
LOG-00083,2026-07-05 16:00,AGT-44,GBX-44,MTR-44,motor,motor current,motor current,A,91.9,heat-up,historian point
