record_id,record_date,agitator_tag,gearbox_tag,motor_tag,component,record_type,item_description,unit,source_value,permit_reference,closeout_reference,record_note
COM-001,2026-07-10,AGT-44,GBX-44,MTR-44,impeller shaft,commissioning,impeller shaft speed tachometer,rpm,92.0,PTW-44-0710-D,CO-44-0710-A,commissioning tachometer
COM-002,2026-07-10,AGT-44,GBX-44,MTR-44,gearbox,commissioning,gearbox oil temperature,degC,80.0,PTW-44-0710-D,CO-44-0710-A,steady one hour run
COM-003,2026-07-10,AGT-44,GBX-44,MTR-44,mechanical seal,commissioning,seal leakage rate,ml/min,5.5,PTW-44-0710-D,CO-44-0710-A,graduated cylinder
COM-004,2026-07-10,AGT-44,GBX-44,MTR-44,seal flush,commissioning,seal flush flow,L/min,2.2,PTW-44-0710-D,CO-44-0710-A,rotameter
COM-005,2026-07-10,AGT-44,GBX-44,MTR-44,seal flush,commissioning,seal flush pressure,bar,1.4,PTW-44-0710-D,CO-44-0710-A,panel gauge
COM-006,2026-07-10,AGT-44,GBX-44,MTR-44,motor,commissioning,motor current,A,99.5,PTW-44-0710-D,CO-44-0710-A,MCC readout
COM-007,2026-07-10,AGT-44,GBX-44,MTR-44,coupling,commissioning,coupling horizontal offset,mm,0.08,PTW-44-0710-D,CO-44-0710-A,laser alignment final read
COM-008,2026-07-10,AGT-44,GBX-44,MTR-44,coupling,commissioning,coupling angularity,deg,0.09,PTW-44-0710-D,CO-44-0710-A,laser alignment final read
PER-001,2026-07-08,AGT-44,GBX-44,MTR-44,permit,permit/LOTO,agitator isolation permit reference,text,,,CO-44-0708-B,permit number not written on night handover
PER-002,2026-07-10,AGT-44,GBX-44,MTR-44,commissioning,closeout,commissioning closeout reference,text,,PTW-44-0710-D,,closeout not assigned at shift handover
TXT-001,2026-07-10,AGT-44,GBX-44,MTR-44,seal flush,handover note,seal pot sight glass condition,text,cloudy sight glass,PTW-44-0710-D,CO-44-0710-A,operator handover
TXT-002,2026-07-10,AGT-44,GBX-44,MTR-44,coupling guard,handover note,return to normal handover status,text,not signed,PTW-44-0710-D,,signature box blank
CTR-0001,2026-07-10 00:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0002,2026-07-10 01:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0003,2026-07-10 01:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0004,2026-07-10 02:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0005,2026-07-10 02:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0006,2026-07-10 03:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0007,2026-07-10 03:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0008,2026-07-10 04:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0009,2026-07-10 04:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0010,2026-07-10 05:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0011,2026-07-10 05:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0012,2026-07-10 06:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0013,2026-07-10 06:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0014,2026-07-10 07:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0015,2026-07-10 07:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0016,2026-07-10 08:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0017,2026-07-10 08:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0018,2026-07-10 09:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0019,2026-07-10 09:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0020,2026-07-10 10:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0021,2026-07-10 10:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0022,2026-07-10 11:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0023,2026-07-10 11:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0024,2026-07-10 12:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0025,2026-07-10 12:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.1,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0026,2026-07-10 13:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0027,2026-07-10 13:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0028,2026-07-10 14:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0029,2026-07-10 14:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0030,2026-07-10 15:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0031,2026-07-10 15:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.06,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0032,2026-07-10 16:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.6,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0033,2026-07-10 16:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.7,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0034,2026-07-10 17:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.80,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0035,2026-07-10 17:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,2.38,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0036,2026-07-10 18:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.0,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0037,2026-07-10 18:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.5,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0038,2026-07-10 19:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.16,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0039,2026-07-10 19:30,AGT-44,GBX-44,MTR-44,seal,commissioning trend,seal flush pressure,bar,1.74,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0040,2026-07-10 20:00,AGT-44,GBX-44,MTR-44,gearbox,commissioning trend,gearbox oil temperature,degC,78.3,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0041,2026-07-10 20:30,AGT-44,GBX-44,MTR-44,motor,commissioning trend,motor current,A,96.4,PTW-44-0710-D,CO-44-0710-A,commissioning trend
CTR-0042,2026-07-10 21:00,AGT-44,GBX-44,MTR-44,impeller,commissioning trend,impeller shaft speed tachometer,rpm,92.48,PTW-44-0710-D,CO-44-0710-A,commissioning trend
